config_id,seed,cooling_rate,moves_per_temp,initial_temp,prob_refine,run_time_s,final_hpwl,initial_hpwl,iterations,accepted_moves,rejected_moves
1,0,0.85,100,50.0,0.7,107.875,427526.53,466403.7,5300,1390,3910
1,1,0.85,100,50.0,0.7,107.184,428025.82,466403.7,5300,1381,3919
1,2,0.85,100,50.0,0.7,110.093,427531.02,466403.7,5300,1421,3879
2,0,0.85,200,50.0,0.7,208.658,381530.59,466403.7,10600,2599,8001
2,1,0.85,200,50.0,0.7,214.129,385995.25,466403.7,10600,2649,7951
2,2,0.85,200,50.0,0.7,217.882,394615.71,466403.7,10600,2679,7921
3,0,0.85,400,50.0,0.7,427.265,337250.25,466403.7,21200,4880,16320
3,1,0.85,400,50.0,0.7,430.552,319137.11,466403.7,21200,5050,16150
3,2,0.85,400,50.0,0.7,427.114,336115.26,466403.7,21200,4953,16247
4,0,0.92,100,50.0,0.7,205.917,394046.0,466403.7,10300,2522,7778
4,1,0.92,100,50.0,0.7,201.824,385272.02,466403.7,10300,2553,7747
4,2,0.92,100,50.0,0.7,10032.407,401582.21,466403.7,10300,2565,7735
5,0,0.92,200,50.0,0.7,20830.619,339680.88,466403.7,20600,4845,15755
5,1,0.92,200,50.0,0.7,2147.398,331853.06,466403.7,20600,4786,15814
5,2,0.92,200,50.0,0.7,412.577,335587.09,466403.7,20600,4856,15744
6,0,0.92,400,50.0,0.7,828.224,265551.5,466403.7,41200,8960,32240
6,1,0.92,400,50.0,0.7,823.498,272726.13,466403.7,41200,8894,32306
6,2,0.92,400,50.0,0.7,2999.05,277190.41,466403.7,41200,8734,32466
7,0,0.97,100,50.0,0.7,558.364,309793.42,466403.7,28000,6218,21782
7,1,0.97,100,50.0,0.7,566.946,302964.07,466403.7,28000,6291,21709
7,2,0.97,100,50.0,0.7,568.555,304675.61,466403.7,28000,6251,21749
8,0,0.97,200,50.0,0.7,1140.027,249918.98,466403.7,56000,11119,44881
8,1,0.97,200,50.0,0.7,1122.315,257636.51,466403.7,56000,11152,44848
8,2,0.97,200,50.0,0.7,1116.027,230395.76,466403.7,56000,11268,44732
9,0,0.97,400,50.0,0.7,3982.744,216590.71,466403.7,112000,19303,92697
9,1,0.97,400,50.0,0.7,2250.931,214716.2,466403.7,112000,19278,92722
9,2,0.97,400,50.0,0.7,2242.295,215878.36,466403.7,112000,19028,92972
