initial_temp,prob_refine,prob_explore,seed,runtime_s,final_hpwl,initial_hpwl,iterations,accepted_moves,rejected_moves,cooling_rate,moves_per_temp
25.0,0.25,0.75,0,830.929,309503.62,466403.7,18800,9193,9607,0.92,200
25.0,0.5,0.5,0,571.916,327605.31,466403.7,18800,6502,12298,0.92,200
25.0,0.7,0.30000000000000004,0,370.206,346615.69,466403.7,18800,4377,14423,0.92,200
25.0,0.85,0.15000000000000002,0,221.048,383393.97,466403.7,18800,2588,16212,0.92,200
50.0,0.25,0.75,0,893.002,313093.53,466403.7,20600,10370,10230,0.92,200
50.0,0.5,0.5,0,617.161,311730.41,466403.7,20600,7249,13351,0.92,200
50.0,0.7,0.30000000000000004,0,406.002,334368.07,466403.7,20600,4772,15828,0.92,200
50.0,0.85,0.15000000000000002,0,236.328,364559.39,466403.7,20600,2909,17691,0.92,200
100.0,0.25,0.75,0,963.791,298030.05,466403.7,22200,11611,10589,0.92,200
100.0,0.5,0.5,0,675.903,304945.89,466403.7,22200,8142,14058,0.92,200
100.0,0.7,0.30000000000000004,0,432.941,324959.23,466403.7,22200,5432,16768,0.92,200
100.0,0.85,0.15000000000000002,0,267.622,359687.67,466403.7,22200,3420,18780,0.92,200
200.0,0.25,0.75,0,1027.382,284722.1,466403.7,23800,12427,11373,0.92,200
200.0,0.5,0.5,0,718.22,294570.65,466403.7,23800,9038,14762,0.92,200
200.0,0.7,0.30000000000000004,0,462.696,296433.92,466403.7,23800,6094,17706,0.92,200
200.0,0.85,0.15000000000000002,0,277.217,349277.9,466403.7,23800,3912,19888,0.92,200
