======================================================================
POWER-DOWN ECO REPORT
======================================================================

Total unused cells found: 94447
Tiles with unused cells: 3240
Tie cells claimed: 3240

PER-TILE BREAKDOWN:
----------------------------------------------------------------------
  T0Y0: 25 unused cells, Tie: T0Y0__R1_CONB_0
  T0Y1: 27 unused cells, Tie: T0Y1__R1_CONB_0
  T0Y10: 26 unused cells, Tie: T0Y10__R1_CONB_0
  T0Y11: 30 unused cells, Tie: T0Y11__R1_CONB_0
  T0Y12: 29 unused cells, Tie: T0Y12__R1_CONB_0
  T0Y13: 30 unused cells, Tie: T0Y13__R1_CONB_0
  T0Y14: 30 unused cells, Tie: T0Y14__R1_CONB_0
  T0Y15: 30 unused cells, Tie: T0Y15__R1_CONB_0
  T0Y16: 30 unused cells, Tie: T0Y16__R1_CONB_0
  T0Y17: 30 unused cells, Tie: T0Y17__R1_CONB_0
  T0Y18: 30 unused cells, Tie: T0Y18__R1_CONB_0
  T0Y19: 30 unused cells, Tie: T0Y19__R1_CONB_0
  T0Y2: 28 unused cells, Tie: T0Y2__R1_CONB_0
  T0Y20: 29 unused cells, Tie: T0Y20__R1_CONB_0
  T0Y21: 30 unused cells, Tie: T0Y21__R1_CONB_0
  T0Y22: 30 unused cells, Tie: T0Y22__R1_CONB_0
  T0Y23: 30 unused cells, Tie: T0Y23__R1_CONB_0
  T0Y24: 30 unused cells, Tie: T0Y24__R1_CONB_0
  T0Y25: 30 unused cells, Tie: T0Y25__R1_CONB_0
  T0Y26: 30 unused cells, Tie: T0Y26__R1_CONB_0
  T0Y27: 30 unused cells, Tie: T0Y27__R1_CONB_0
  T0Y28: 30 unused cells, Tie: T0Y28__R1_CONB_0
  T0Y29: 30 unused cells, Tie: T0Y29__R1_CONB_0
  T0Y3: 28 unused cells, Tie: T0Y3__R1_CONB_0
  T0Y30: 30 unused cells, Tie: T0Y30__R1_CONB_0
  T0Y31: 30 unused cells, Tie: T0Y31__R1_CONB_0
  T0Y32: 30 unused cells, Tie: T0Y32__R1_CONB_0
  T0Y33: 30 unused cells, Tie: T0Y33__R1_CONB_0
  T0Y34: 30 unused cells, Tie: T0Y34__R1_CONB_0
  T0Y35: 30 unused cells, Tie: T0Y35__R1_CONB_0
  T0Y36: 30 unused cells, Tie: T0Y36__R1_CONB_0
  T0Y37: 30 unused cells, Tie: T0Y37__R1_CONB_0
  T0Y38: 30 unused cells, Tie: T0Y38__R1_CONB_0
  T0Y39: 30 unused cells, Tie: T0Y39__R1_CONB_0
  T0Y4: 27 unused cells, Tie: T0Y4__R1_CONB_0
  T0Y40: 30 unused cells, Tie: T0Y40__R1_CONB_0
  T0Y41: 30 unused cells, Tie: T0Y41__R1_CONB_0
  T0Y42: 30 unused cells, Tie: T0Y42__R1_CONB_0
  T0Y43: 30 unused cells, Tie: T0Y43__R1_CONB_0
  T0Y44: 30 unused cells, Tie: T0Y44__R1_CONB_0
  T0Y45: 29 unused cells, Tie: T0Y45__R1_CONB_0
  T0Y46: 27 unused cells, Tie: T0Y46__R1_CONB_0
  T0Y47: 16 unused cells, Tie: T0Y47__R1_CONB_0
  T0Y48: 18 unused cells, Tie: T0Y48__R1_CONB_0
  T0Y49: 22 unused cells, Tie: T0Y49__R1_CONB_0
  T0Y5: 28 unused cells, Tie: T0Y5__R1_CONB_0
  T0Y50: 21 unused cells, Tie: T0Y50__R1_CONB_0
  T0Y51: 16 unused cells, Tie: T0Y51__R1_CONB_0
  T0Y52: 23 unused cells, Tie: T0Y52__R1_CONB_0
  T0Y53: 27 unused cells, Tie: T0Y53__R1_CONB_0
  T0Y54: 30 unused cells, Tie: T0Y54__R1_CONB_0
  T0Y55: 30 unused cells, Tie: T0Y55__R1_CONB_0
  T0Y56: 30 unused cells, Tie: T0Y56__R1_CONB_0
  T0Y57: 30 unused cells, Tie: T0Y57__R1_CONB_0
  T0Y58: 30 unused cells, Tie: T0Y58__R1_CONB_0
  T0Y59: 30 unused cells, Tie: T0Y59__R1_CONB_0
  T0Y6: 29 unused cells, Tie: T0Y6__R1_CONB_0
  T0Y60: 30 unused cells, Tie: T0Y60__R1_CONB_0
  T0Y61: 30 unused cells, Tie: T0Y61__R1_CONB_0
  T0Y62: 30 unused cells, Tie: T0Y62__R1_CONB_0
  T0Y63: 30 unused cells, Tie: T0Y63__R1_CONB_0
  T0Y64: 30 unused cells, Tie: T0Y64__R1_CONB_0
  T0Y65: 30 unused cells, Tie: T0Y65__R1_CONB_0
  T0Y66: 30 unused cells, Tie: T0Y66__R1_CONB_0
  T0Y67: 30 unused cells, Tie: T0Y67__R1_CONB_0
  T0Y68: 30 unused cells, Tie: T0Y68__R1_CONB_0
  T0Y69: 30 unused cells, Tie: T0Y69__R1_CONB_0
  T0Y7: 27 unused cells, Tie: T0Y7__R1_CONB_0
  T0Y70: 30 unused cells, Tie: T0Y70__R1_CONB_0
  T0Y71: 30 unused cells, Tie: T0Y71__R1_CONB_0
  T0Y72: 30 unused cells, Tie: T0Y72__R1_CONB_0
  T0Y73: 30 unused cells, Tie: T0Y73__R1_CONB_0
  T0Y74: 30 unused cells, Tie: T0Y74__R1_CONB_0
  T0Y75: 30 unused cells, Tie: T0Y75__R1_CONB_0
  T0Y76: 30 unused cells, Tie: T0Y76__R1_CONB_0
  T0Y77: 30 unused cells, Tie: T0Y77__R1_CONB_0
  T0Y78: 30 unused cells, Tie: T0Y78__R1_CONB_0
  T0Y79: 30 unused cells, Tie: T0Y79__R1_CONB_0
  T0Y8: 27 unused cells, Tie: T0Y8__R1_CONB_0
  T0Y80: 30 unused cells, Tie: T0Y80__R1_CONB_0
  T0Y81: 30 unused cells, Tie: T0Y81__R1_CONB_0
  T0Y82: 30 unused cells, Tie: T0Y82__R1_CONB_0
  T0Y83: 30 unused cells, Tie: T0Y83__R1_CONB_0
  T0Y84: 30 unused cells, Tie: T0Y84__R1_CONB_0
  T0Y85: 30 unused cells, Tie: T0Y85__R1_CONB_0
  T0Y86: 30 unused cells, Tie: T0Y86__R1_CONB_0
  T0Y87: 30 unused cells, Tie: T0Y87__R1_CONB_0
  T0Y88: 30 unused cells, Tie: T0Y88__R1_CONB_0
  T0Y89: 30 unused cells, Tie: T0Y89__R1_CONB_0
  T0Y9: 29 unused cells, Tie: T0Y9__R1_CONB_0
  T10Y0: 30 unused cells, Tie: T10Y0__R1_CONB_0
  T10Y1: 30 unused cells, Tie: T10Y1__R1_CONB_0
  T10Y10: 30 unused cells, Tie: T10Y10__R1_CONB_0
  T10Y11: 29 unused cells, Tie: T10Y11__R1_CONB_0
  T10Y12: 30 unused cells, Tie: T10Y12__R1_CONB_0
  T10Y13: 30 unused cells, Tie: T10Y13__R1_CONB_0
  T10Y14: 28 unused cells, Tie: T10Y14__R1_CONB_0
  T10Y15: 23 unused cells, Tie: T10Y15__R1_CONB_0
  T10Y16: 17 unused cells, Tie: T10Y16__R1_CONB_0
  T10Y17: 14 unused cells, Tie: T10Y17__R1_CONB_0
  T10Y18: 10 unused cells, Tie: T10Y18__R1_CONB_0
  T10Y19: 8 unused cells, Tie: T10Y19__R1_CONB_0
  T10Y2: 30 unused cells, Tie: T10Y2__R1_CONB_0
  T10Y20: 7 unused cells, Tie: T10Y20__R1_CONB_0
  T10Y21: 6 unused cells, Tie: T10Y21__R1_CONB_0
  T10Y22: 7 unused cells, Tie: T10Y22__R1_CONB_0
  T10Y23: 14 unused cells, Tie: T10Y23__R1_CONB_0
  T10Y24: 8 unused cells, Tie: T10Y24__R1_CONB_0
  T10Y25: 9 unused cells, Tie: T10Y25__R1_CONB_0
  T10Y26: 12 unused cells, Tie: T10Y26__R1_CONB_0
  T10Y27: 13 unused cells, Tie: T10Y27__R1_CONB_0
  T10Y28: 20 unused cells, Tie: T10Y28__R1_CONB_0
  T10Y29: 26 unused cells, Tie: T10Y29__R1_CONB_0
  T10Y3: 30 unused cells, Tie: T10Y3__R1_CONB_0
  T10Y30: 28 unused cells, Tie: T10Y30__R1_CONB_0
  T10Y31: 29 unused cells, Tie: T10Y31__R1_CONB_0
  T10Y32: 28 unused cells, Tie: T10Y32__R1_CONB_0
  T10Y33: 28 unused cells, Tie: T10Y33__R1_CONB_0
  T10Y34: 30 unused cells, Tie: T10Y34__R1_CONB_0
  T10Y35: 28 unused cells, Tie: T10Y35__R1_CONB_0
  T10Y36: 30 unused cells, Tie: T10Y36__R1_CONB_0
  T10Y37: 30 unused cells, Tie: T10Y37__R1_CONB_0
  T10Y38: 30 unused cells, Tie: T10Y38__R1_CONB_0
  T10Y39: 30 unused cells, Tie: T10Y39__R1_CONB_0
  T10Y4: 30 unused cells, Tie: T10Y4__R1_CONB_0
  T10Y40: 30 unused cells, Tie: T10Y40__R1_CONB_0
  T10Y41: 30 unused cells, Tie: T10Y41__R1_CONB_0
  T10Y42: 30 unused cells, Tie: T10Y42__R1_CONB_0
  T10Y43: 29 unused cells, Tie: T10Y43__R1_CONB_0
  T10Y44: 30 unused cells, Tie: T10Y44__R1_CONB_0
  T10Y45: 30 unused cells, Tie: T10Y45__R1_CONB_0
  T10Y46: 30 unused cells, Tie: T10Y46__R1_CONB_0
  T10Y47: 30 unused cells, Tie: T10Y47__R1_CONB_0
  T10Y48: 30 unused cells, Tie: T10Y48__R1_CONB_0
  T10Y49: 30 unused cells, Tie: T10Y49__R1_CONB_0
  T10Y5: 29 unused cells, Tie: T10Y5__R1_CONB_0
  T10Y50: 30 unused cells, Tie: T10Y50__R1_CONB_0
  T10Y51: 30 unused cells, Tie: T10Y51__R1_CONB_0
  T10Y52: 30 unused cells, Tie: T10Y52__R1_CONB_0
  T10Y53: 30 unused cells, Tie: T10Y53__R1_CONB_0
  T10Y54: 30 unused cells, Tie: T10Y54__R1_CONB_0
  T10Y55: 30 unused cells, Tie: T10Y55__R1_CONB_0
  T10Y56: 30 unused cells, Tie: T10Y56__R1_CONB_0
  T10Y57: 30 unused cells, Tie: T10Y57__R1_CONB_0
  T10Y58: 30 unused cells, Tie: T10Y58__R1_CONB_0
  T10Y59: 30 unused cells, Tie: T10Y59__R1_CONB_0
  T10Y6: 30 unused cells, Tie: T10Y6__R1_CONB_0
  T10Y60: 30 unused cells, Tie: T10Y60__R1_CONB_0
  T10Y61: 30 unused cells, Tie: T10Y61__R1_CONB_0
  T10Y62: 30 unused cells, Tie: T10Y62__R1_CONB_0
  T10Y63: 30 unused cells, Tie: T10Y63__R1_CONB_0
